,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10942,Year of the Lord leather jacket used woman size 44 brown LLV141,Pre-Owned,$53.21,Italy,53.21,IT,eBay,International,Used,Other,False,63,3.992865393272247,4.1588830833596715
10943,Jacket Max Leather Man Black Vintage tg48 MON1431LZ,Pre-Owned,$19.36,Italy,19.36,IT,eBay,International,Used,Vintage,False,51,3.013572191682322,3.9512437185814275
10944,Blasting Leather Jacket Used Woman Size 42 Brown XYE164L,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,56,3.6871279210751298,4.04305126783455
10945,Conbipel Jacket Genuine Leather Used Woman Size 46 Black LLD60,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,62,3.6871279210751298,4.143134726391533
10946,Alessandroni Men's Leather Jacket Size 48 Black LLV1079,Pre-Owned,$57.45,Italy,57.45,IT,eBay,International,Used,Other,False,55,4.068171687918078,4.02535169073515
10947,Jacket Giginava Man Brown Genuine Leather Size 56 Mon 1108 Lz,Pre-Owned,$25.32,Italy,25.32,IT,eBay,International,Used,Other,False,61,3.2703291064571163,4.127134385045092
10948,P&P Leather Jacket Used Man Tg54 Dark Grey LLE84,Pre-Owned,$81.50,Italy,81.5,IT,eBay,International,Used,Other,False,48,4.412798293340635,3.8918202981106265
10949,Jacket Skin Usata-Donna Woman Brown Size S-PGS025PI,Pre-Owned,$26.11,Italy,26.11,IT,eBay,International,Used,Other,False,51,3.299902663510574,3.9512437185814275
10950,Mens Coat Man Brown IN Vera Leather Size 48 Mon 972 Lz,Pre-Owned,$34.55,Italy,34.55,IT,eBay,International,Used,Other,False,54,3.5709401562492498,4.007333185232471
10951,Leather Jacket Used Men Size 54 Brown LLV466,Pre-Owned,$45.90,Italy,45.9,IT,eBay,International,Used,Other,False,44,3.8480176754522337,3.8066624897703196
10952,King's Pell Jacket Genuine Leather Used Man Size 52 Brown LLV49,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,63,3.685122405236224,4.1588830833596715
